"Variável","Correlação_Pearson","p_valor","IC_inferior","IC_superior","Significância"
"n_total",0.789,"< 2e-16",0.73,0.837,"***"
"p_total",0.789,"< 2e-16",0.73,0.837,"***"
"n_labil",0.627,"5.32e-10",-0.532,-0.302,"***"
"p_labil",0.627,"< 2e-16",0.533,0.705,"***"
"n_humico",0.616,"< 2e-16",0.521,0.696,"***"
"p_humico",0.616,"< 2e-16",0.533,0.705,"***"
"areia",-0.439,"< 2e-16",0.521,0.696,"***"
"ds",-0.424,"1.15e-10",-0.545,-0.318,"***"
"argila",0.267,"0.001128",0.094,0.359,"**"
"silte",0.23,"0.000153",0.132,0.392,"***"
